customer_id,product_id,rating(bin),review_date,review_id,review_text,rating
1516,16,3.5,03-03-2024,1,"Customer service was excellent, product too.",4
1516,1516,3.5,08-01-2024,2,"Customer service was excellent, product too.",4
9066,1566,0.9,23-03-2024,3,Basic functionality but reliable.,1
9066,66,0.9,25-03-2024,4,Basic functionality but reliable.,1
1522,1522,2.6,03-03-2024,5,Better than similar products I have tried.,3
1522,22,2.6,23-09-2024,6,Better than similar products I have tried.,3
3008,1508,1.7,03-05-2024,7,"Fantastic, exactly what I needed.",2
3008,8,1.7,27-02-2024,8,"Fantastic, exactly what I needed.",2
60,1560,0.9,13-12-2023,9,Definitely recommend to others.,1
60,60,0.9,04-11-2024,10,Definitely recommend to others.,1
7512,12,3.5,16-01-2024,11,Could be better for the price point.,4
7512,1512,3.5,13-11-2024,12,Could be better for the price point.,4
21,1521,1.7,24-06-2024,13,Exactly what I was looking for.,2
21,21,1.7,12-07-2024,14,Exactly what I was looking for.,2
7510,10,1.7,19-01-2024,15,Very impressed with the build quality.,2
7510,1510,1.7,30-12-2023,16,Very impressed with the build quality.,2
1531,31,1.7,11-11-2024,17,"Not as described, slightly disappointed.",2
1531,1531,1.7,28-04-2024,18,"Not as described, slightly disappointed.",2
4537,37,4.3,08-06-2024,19,"Does the basics well, nothing fancy.",5
4537,1537,4.3,28-12-2023,20,"Does the basics well, nothing fancy.",5
7550,1550,2.6,16-10-2024,21,Outstanding quality and design.,3
7550,50,2.6,18-03-2024,22,Outstanding quality and design.,3
1575,75,4.3,05-07-2024,23,Could use some improvements.,5
1575,1575,4.3,20-04-2024,24,Could use some improvements.,5
9022,1522,2.6,29-02-2024,25,Better than similar products I have tried.,3
9022,22,2.6,04-01-2024,26,Better than similar products I have tried.,3
1525,25,0.9,20-12-2023,27,Decent product but overpriced.,1
1525,1525,0.9,11-12-2023,28,Decent product but overpriced.,1
7530,1530,2.6,04-12-2023,29,Absolutely love this product!,3
7530,30,2.6,22-01-2024,30,Absolutely love this product!,3
9050,1550,2.6,30-08-2024,31,Outstanding quality and design.,3
9050,50,2.6,06-11-2024,32,Outstanding quality and design.,3
72,72,4.3,05-10-2024,33,Really impressed with the quality.,5
72,1572,4.3,09-11-2024,34,Really impressed with the quality.,5
9056,1556,0.9,11-05-2024,35,Love the design and functionality.,1
9056,56,0.9,30-05-2024,36,Love the design and functionality.,1
9025,25,0.9,13-02-2024,37,Decent product but overpriced.,1
9025,1525,0.9,31-05-2024,38,Decent product but overpriced.,1
1521,1521,1.7,02-11-2024,39,Exactly what I was looking for.,2
1521,21,1.7,11-11-2024,40,Exactly what I was looking for.,2
7520,1520,2.6,27-12-2023,41,"Not worth the money, save your cash.",3
7520,20,2.6,19-04-2024,42,"Not worth the money, save your cash.",3
6011,1511,3.5,28-04-2024,43,"Shipping was fast, product works great!",4
6011,11,3.5,25-04-2024,44,"Shipping was fast, product works great!",4
6016,16,3.5,04-04-2024,45,"Customer service was excellent, product too.",4
6016,1516,3.5,19-10-2024,46,"Customer service was excellent, product too.",4
